,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,20190226,20190226130001410,20190226130017236,20190226130017245,20190226130017246,2011,11,14027033,958,102,3909944,0,0.0,2500,4,20190226130001410
79,20190226,20190226130001410,20190226130017246,20190226130017256,20190226130017256,2011,11,14027138,958,102,0,2483442,0.0,500,4,20190226130001410
80,20190226,20190226130001430,20190226130017349,20190226130017357,20190226130017357,2011,11,14027600,958,102,14027599,9549586,4.27,7000,F,20190226130001430
81,20190226,20190226130001440,20190226130017474,20190226130017482,20190226130017482,2011,11,14028164,958,102,14028163,9549586,4.27,9400,F,20190226130001440
82,20190226,20190226130001440,20190226130017474,20190226130017482,20190226130017483,2011,11,14028165,958,102,14028163,9586097,4.27,600,F,20190226130001440
83,20190226,20190226130001460,20190226130017601,20190226130017850,20190226130017851,2011,11,14028823,958,102,13998235,14028822,4.26,1300,F,20190226130001460
84,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032168,958,102,14032167,9586097,4.27,1300,F,20190226130001580
85,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032169,958,102,14032167,9647806,4.27,1000,F,20190226130001580
86,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032170,958,102,14032167,9833762,4.27,3000,F,20190226130001580
87,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032171,958,102,14032167,9878653,4.27,900,F,20190226130001580
88,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032172,958,102,14032167,10741309,4.27,2300,F,20190226130001580
89,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032173,958,102,14032167,11679598,4.27,100,F,20190226130001580
90,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032174,958,102,14032167,12623203,4.27,1000,F,20190226130001580
91,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032175,958,102,14032167,12808474,4.27,1100,F,20190226130001580
92,20190226,20190226130001580,20190226130018417,20190226130018427,20190226130018428,2011,11,14032176,958,102,14032167,12832530,4.27,1300,F,20190226130001580
93,20190226,20190226130001580,20190226130018430,20190226130018438,20190226130018439,2011,11,14032216,958,102,13344316,0,0.0,300,4,20190226130001580
94,20190226,20190226130001580,20190226130018430,20190226130018439,20190226130018440,2011,11,14032246,958,102,13352691,0,0.0,400,4,20190226130001580
95,20190226,20190226130001600,20190226130018554,20190226130018563,20190226130018563,2011,11,14032743,958,102,6298459,0,0.0,1000,4,20190226130001600
96,20190226,20190226130001630,20190226130018680,20190226130018688,20190226130018689,2011,11,14033298,958,102,0,12908073,0.0,1800,4,20190226130001630
97,20190226,20190226130001630,20190226130018698,20190226130018710,20190226130018710,2011,11,14033516,958,102,14033515,12832530,4.27,1000,F,20190226130001630
98,20190226,20190226130001630,20190226130018698,20190226130018710,20190226130018710,2011,11,14033518,958,102,14033517,12832530,4.27,1000,F,20190226130001630
99,20190226,20190226130001660,20190226130018897,20190226130018910,20190226130018910,2011,11,14034285,958,102,14034284,13022945,4.27,6600,F,20190226130001660
100,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018910,2011,11,14034286,958,102,14034284,13084627,4.27,400,F,20190226130001660
101,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018910,2011,11,14034287,958,102,14034284,13088897,4.27,8000,F,20190226130001660
102,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018910,2011,11,14034288,958,102,14034284,13104587,4.27,2800,F,20190226130001660
103,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018910,2011,11,14034289,958,102,14034284,13126820,4.27,4000,F,20190226130001660
104,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018911,2011,11,14034290,958,102,14034284,13169567,4.27,1000,F,20190226130001660
105,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018911,2011,11,14034291,958,102,14034284,13178146,4.27,2000,F,20190226130001660
106,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018911,2011,11,14034292,958,102,14034284,13187885,4.27,1000,F,20190226130001660
107,20190226,20190226130001660,20190226130018898,20190226130018910,20190226130018911,2011,11,14034293,958,102,14034284,13196484,4.27,4200,F,20190226130001660
108,20190226,20190226130001690,20190226130019159,20190226130019170,20190226130019170,2011,11,14035339,958,102,6579595,0,0.0,2000,4,20190226130001690
109,20190226,20190226130001780,20190226130019647,20190226130019654,20190226130019654,2011,11,14037334,958,102,14037333,13196484,4.27,800,F,20190226130001780
110,20190226,20190226130001780,20190226130019647,20190226130019654,20190226130019654,2011,11,14037335,958,102,14037333,13218115,4.27,200,F,20190226130001780
111,20190226,20190226130001830,20190226130019983,20190226130019990,20190226130019991,2011,11,14038651,958,102,13998235,14038650,4.26,100,F,20190226130001830
112,20190226,20190226130001870,20190226130020140,20190226130020148,20190226130020148,2011,11,14039195,958,102,13998235,14039194,4.26,1000,F,20190226130001870
113,20190226,20190226130001870,20190226130020218,20190226130020225,20190226130020241,2011,11,14039314,958,102,13998235,14039313,4.26,3000,F,20190226130001870
114,20190226,20190226130001880,20190226130020242,20190226130020249,20190226130020249,2011,11,14039562,958,102,13584773,0,0.0,1000,4,20190226130001880
115,20190226,20190226130001880,20190226130020243,20190226130020250,20190226130020251,2011,11,14039595,958,102,13572097,0,0.0,1000,4,20190226130001880
116,20190226,20190226130001880,20190226130020243,20190226130020250,20190226130020251,2011,11,14039598,958,102,13553743,0,0.0,1000,4,20190226130001880
117,20190226,20190226130001930,20190226130020599,20190226130020606,20190226130020607,2011,11,14041174,958,102,14041173,13218115,4.27,1300,F,20190226130001930
118,20190226,20190226130001970,20190226130020847,20190226130020854,20190226130020855,2011,11,14042178,958,102,261824,0,0.0,2000,4,20190226130001970
119,20190226,20190226130001990,20190226130020960,20190226130020967,20190226130020968,2011,11,14042670,958,102,14042669,13218115,4.27,3000,F,20190226130001990
120,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043415,958,102,13998235,14043414,4.26,20400,F,20190226130002030
121,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043416,958,102,14006682,14043414,4.26,5000,F,20190226130002030
122,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043417,958,102,14015465,14043414,4.26,400,F,20190226130002030
123,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043418,958,102,14018997,14043414,4.26,37100,F,20190226130002030
124,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043419,958,102,14021461,14043414,4.26,5000,F,20190226130002030
125,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043420,958,102,14021768,14043414,4.26,1500,F,20190226130002030
126,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043421,958,102,14024425,14043414,4.26,15100,F,20190226130002030
127,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043422,958,102,14028537,14043414,4.26,5000,F,20190226130002030
128,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043423,958,102,14028858,14043414,4.26,1700,F,20190226130002030
129,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043424,958,102,14029880,14043414,4.26,500,F,20190226130002030
130,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043425,958,102,14031902,14043414,4.26,2000,F,20190226130002030
131,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043426,958,102,14037576,14043414,4.26,5000,F,20190226130002030
132,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043427,958,102,14038278,14043414,4.26,1100,F,20190226130002030
133,20190226,20190226130002030,20190226130021198,20190226130021207,20190226130021208,2011,11,14043428,958,102,14041440,14043414,4.26,200,F,20190226130002030
134,20190226,20190226130002040,20190226130021301,20190226130021310,20190226130021311,2011,11,14043731,958,102,14043730,13218115,4.27,846,F,20190226130002040
135,20190226,20190226130002040,20190226130021301,20190226130021310,20190226130021311,2011,11,14043732,958,102,14043730,13237539,4.27,1154,F,20190226130002040
136,20190226,20190226130002040,20190226130021313,20190226130021321,20190226130021322,2011,11,14043850,958,102,0,13583286,0.0,400,4,20190226130002040
137,20190226,20190226130002050,20190226130021425,20190226130021433,20190226130021434,2011,11,14044260,958,102,14041440,14044259,4.26,100,F,20190226130002050
138,20190226,20190226130002100,20190226130021770,20190226130021779,20190226130021780,2011,11,14045819,958,102,14041440,14045818,4.26,300,F,20190226130002100
139,20190226,20190226130002200,20190226130022377,20190226130022385,20190226130022385,2011,11,14048349,958,102,4935161,0,0.0,32700,4,20190226130002200
140,20190226,20190226130002280,20190226130022944,20190226130022951,20190226130022952,2011,11,14050648,958,102,14050647,13237539,4.27,846,F,20190226130002280
141,20190226,20190226130002280,20190226130022944,20190226130022951,20190226130022952,2011,11,14050649,958,102,14050647,13265541,4.27,2100,F,20190226130002280
142,20190226,20190226130002280,20190226130022944,20190226130022951,20190226130022952,2011,11,14050650,958,102,14050647,13308517,4.27,2000,F,20190226130002280
143,20190226,20190226130002280,20190226130022944,20190226130022951,20190226130022952,2011,11,14050651,958,102,14050647,13326749,4.27,1500,F,20190226130002280
144,20190226,20190226130002280,20190226130022944,20190226130022951,20190226130022952,2011,11,14050652,958,102,14050647,13393887,4.27,354,F,20190226130002280
145,20190226,20190226130002300,20190226130023095,20190226130023104,20190226130023105,2011,11,14051406,958,102,94273,0,0.0,6900,4,20190226130002300
146,20190226,20190226130002310,20190226130023128,20190226130023137,20190226130023138,2011,11,14051654,958,102,14041440,14051653,4.26,600,F,20190226130002310
147,20190226,20190226130002310,20190226130023128,20190226130023137,20190226130023138,2011,11,14051655,958,102,14044184,14051653,4.26,100,F,20190226130002310
148,20190226,20190226130002310,20190226130023128,20190226130023137,20190226130023138,2011,11,14051656,958,102,14050640,14051653,4.26,300,F,20190226130002310
149,20190226,20190226130002310,20190226130023203,20190226130023211,20190226130023212,2011,11,14051729,958,102,13819503,0,0.0,1500,4,20190226130002310
150,20190226,20190226130002310,20190226130023217,20190226130023225,20190226130023226,2011,11,14051909,958,102,14051908,13393887,4.27,646,F,20190226130002310
151,20190226,20190226130002310,20190226130023217,20190226130023225,20190226130023226,2011,11,14051910,958,102,14051908,13547677,4.27,1000,F,20190226130002310
